ID,Price,Date,Postcode,Type,NewBuild,Estate,Address1,Address2,Address3,Address4,Address5,District,County
2FD36065-8A3E-4BF8-E050-A8C0620562B1,1735000,18/03/2016,HA6 2AZ,D,N,F,,12,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
99C8C2AE-1B4B-4A90-B447-597398EBCB31,1727000,10/06/2015,HA6 2AZ,D,N,F,,16,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
9426ECDD-0229-465B-BEF2-4EE2C60074B3,1475000,13/03/2014,HA6 2AZ,D,N,F,,18,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
55BDCAE6-D60B-521D-E053-6B04A8C0DD7A,3150000,29/06/2017,HA6 2AZ,D,N,F,,20,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
BDBD5701-453B-4A84-8956-5BBFB5E32669,1300000,12/11/2010,HA6 2AZ,D,N,F,,38,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
B82222EC-D43D-6691-E053-6B04A8C02FB2,1600000,21/10/2020,HA6 2AZ,D,N,F,,44,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
34428D7E-100A-B86C-E050-A8C06205059C,1775000,25/04/2016,HA6 2BA,D,N,F,,1,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
41D63E42-E63A-4793-97E7-06426C4E2486,1500000,06/03/2013,HA6 2BA,D,N,F,,3,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
B57E7012-67A2-452D-8C64-E6EBA93ABD1A,1750000,22/08/2012,HA6 2BA,D,N,F,,15,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
3AECB3B7-BA92-420D-B21F-D00C81591347,1550000,30/06/2010,HA6 2BB,D,N,F,,2,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
FE2EF31F-C0D7-4B9A-8455-5881F3C8C932,1250000,22/07/2011,HA6 2BB,D,N,F,,4,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
31FB4C17-5A9A-57B9-E050-A8C063053436,1600000,22/04/2016,HA6 2BB,D,N,F,,6,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
D7B204F0-D72F-45F1-953F-7CB664E3FFA4,1395000,22/05/2013,HA6 2BB,D,N,F,,10,BEDFORD ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
57A256E6-5B2C-4448-9979-82C957729F0F,1400000,28/10/2011,HA6 2BP,D,N,F,,4,ST MARTINS,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
73A94715-F1A8-4AEF-AC5C-84E71D0F7240,1500000,01/09/2011,HA6 2BP,D,N,F,,"ETON HOUSE, 5",ST MARTINS,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
55BDCAE5-F7E1-521D-E053-6B04A8C0DD7A,1675000,20/06/2017,HA6 2BP,D,N,F,,6,ST MARTINS,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
01EB45EF-C1F6-40F3-E063-4704A8C05FDE,1270000,10/02/2023,HA6 2BQ,D,N,F,,GROVE COTTAGE,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
F648738B-3E16-4E6D-8F0D-E7C466F21667,595000,14/12/2010,HA6 2BQ,D,N,F,,3,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
85866A64-C01B-143F-E053-6B04A8C06A15,970000,25/05/2018,HA6 2BQ,D,N,F,,4,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
09266DDB-C23B-AF90-E063-4704A8C02087,940000,11/08/2023,HA6 2BQ,D,N,F,,5,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
E2C8463D-5924-4364-857F-B1A389EE28F8,617500,30/09/2011,HA6 2BQ,D,N,F,,10,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
40BB120E-4748-4D01-99DE-08206D1B258B,671158,26/04/2013,HA6 2BQ,D,N,F,,13,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
55BDCAE5-F4DE-521D-E053-6B04A8C0DD7A,1050000,20/06/2017,HA6 2BQ,D,N,F,,22,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
AECC6C6A-20E7-4CBA-AC99-06CF79569660,570000,24/03/2010,HA6 2BQ,D,N,F,,23,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
D93B27B0-B972-3100-E053-6C04A8C08887,1075000,02/02/2022,HA6 2BQ,D,N,F,,27,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
BEF7EBBF-9F67-7A76-E053-6B04A8C092F7,1000000,14/01/2021,HA6 2BQ,D,N,F,,32,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
2FD36065-89D3-4BF8-E050-A8C0620562B1,950000,26/02/2016,HA6 2BQ,D,N,F,,49,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
CB0035E5-CCEE-58AE-E053-6B04A8C091AF,1140000,21/05/2021,HA6 2BQ,D,N,F,,51,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
7A296B06-CF7A-48C6-A729-58EAAFF33870,625000,11/01/2013,HA6 2BQ,D,N,F,,60,GROVE FARM PARK,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
96C2618B-6939-4EF2-BB49-F12B85F4268C,1550000,30/11/2012,HA6 2EB,D,N,F,,107,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
DBA933F9-6A06-669D-E053-6B04A8C0AD56,2500000,07/01/2022,HA6 2EB,D,N,F,,111,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
31FB4C17-540F-57B9-E050-A8C063053436,1500000,26/02/2016,HA6 2ED,D,N,F,,98,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
80E1AA98-178E-7BF8-E053-6C04A8C00BF2,1860000,14/12/2018,HA6 2ED,D,N,F,,102,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
8B4558CE-C307-462C-BAC6-8609191DB747,997000,21/09/2012,HA6 2ED,D,N,F,,104,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
25EA59F9-BE26-4D50-E050-A8C0630562D0,1850000,13/11/2015,HA6 2ED,D,N,F,,"WILLOW COTTAGE, 106",WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
919FEC05-3C15-9A90-E053-6C04A8C0A300,1645000,08/08/2019,HA6 2EE,D,N,F,,1,HEATHSIDE ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
8A78B2AF-9183-5CB0-E053-6B04A8C0F504,1370000,01/05/2019,HA6 2EE,D,N,F,,13,HEATHSIDE ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
820DFC5A-0C5D-4EA1-BC91-3730EC50E14A,1485000,11/02/2015,HA6 2EF,D,N,F,,2,HEATHSIDE ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
DDDF07B5-A9EC-4F51-818F-A1B4B8056558,895000,25/08/2009,HA6 2EF,D,N,F,,8,HEATHSIDE ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
49D7A87B-56DA-46A1-BA09-030A39819D95,1100000,23/11/2012,HA6 2EF,D,N,F,,18,HEATHSIDE ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
8A78B2AF-9267-5CB0-E053-6B04A8C0F504,1350000,13/05/2019,HA6 2EG,D,N,F,,15,HEATHSIDE ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
DBA933F9-64DB-669D-E053-6B04A8C0AD56,1425000,21/09/2021,HA6 2EG,D,N,F,,17,HEATHSIDE ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
61D8894D-EB68-3DE6-E053-6C04A8C01207,1450000,23/11/2017,HA6 2EG,D,N,F,,19,HEATHSIDE ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
34428D7E-0F8D-B86C-E050-A8C06205059C,1200000,23/03/2016,HA6 2EG,D,N,F,,21,HEATHSIDE ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
488F88A5-23E0-4202-A273-D08B349BB70F,912000,16/06/2009,HA6 2EH,D,N,F,,62,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
23B6165E-4941-FCF4-E050-A8C0620577FA,1450000,21/08/2015,HA6 2EH,D,N,F,,80,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
32A5C15D-CCD7-4F69-BBFE-3DE76F5D0E6D,2900000,21/07/2011,HA6 2EH,D,N,F,,90,WOLSEY ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
FFA361DA-CE32-8A03-E053-4804A8C01F61,1650000,26/05/2023,HA6 2EJ,D,N,F,,CARTREF,ORMONDE ROAD,,NORTHWOOD,THREE RIVERS,HERTFORDSHIRE
