urn,la_code,local_authority_ons_name,region_code,ofsted_ilacs_scrape_la_name,rgn22cd,rgn22nm,lad22cd,ltla23cd,ltla23nm,ltla23nmw,utla23cd,utla23nm,country,parliamentary_constituency,ofsted_region,gov_office_region
80516,211,Tower Hamlets,GL,Tower Hamlets,E12000007,London,E09000030,E09000030,Tower Hamlets,,E09000030,Tower Hamlets,England,Rochford and Southend East,London,London
80517,320,Waltham Forest,GL,Waltham Forest,E12000007,London,E09000031,E09000031,Waltham Forest,,E09000031,Waltham Forest,England,St. Helens North,London,London
80518,212,Wandsworth,E,Wandsworth,E12000007,London,E09000032,E09000032,Wandsworth,,E09000032,Wandsworth,England,Burton,East of England,East of England
80519,213,Westminster,NW,Westminster,E12000007,London,E09000033,E09000033,Westminster,,E09000033,Westminster,England,Cheadle,North West,North West
80520,821,Luton,NE,Luton,E12000006,East of England,E06000032,E06000032,Luton,,E06000032,Luton,England,Stockton North,North East,North East
80521,352,Manchester,SE,Manchester,E12000002,North West,E08000003,E08000003,Manchester,,E08000003,Manchester,England,Stoke-on-Trent Central,South East,South East
80522,887,Medway,NE,Medway,E12000008,South East,E06000035,E06000035,Medway,,E06000035,Medway,England,Bury St. Edmunds,North East,North East
80523,806,Middlesbrough,E,Middlesbrough,E12000001,North East,E06000002,E06000002,Middlesbrough,,E06000002,Middlesbrough,England,Sunderland Central,East of England,East of England
80524,826,Milton Keynes,YH,Milton Keynes,E12000008,South East,E06000042,E06000042,Milton Keynes,,E06000042,Milton Keynes,England,Esher and Walton,Yorkshire and the Humber,Yorkshire and the Humber
80525,391,Newcastle upon Tyne,YH,Newcastle upon Tyne,E12000001,North East,E08000021,E08000021,Newcastle upon Tyne,,E08000021,Newcastle upon Tyne,England,Carshalton and Wallington,Yorkshire and the Humber,Yorkshire and the Humber
80526,812,North East Lincolnshire,SW,North East Lincolnshire,E12000003,Yorkshire and The Humber,E06000012,E06000012,North East Lincolnshire,,E06000012,North East Lincolnshire,England,North Swindon,South West,South West
80527,813,North Lincolnshire,NE,North Lincolnshire,E12000003,Yorkshire and The Humber,E06000013,E06000013,North Lincolnshire,,E06000013,North Lincolnshire,England,Ashton-under-Lyne,North East,North East
80528,802,North Somerset,YH,North Somerset,E12000009,South West,E06000024,E06000024,North Somerset,,E06000024,North Somerset,England,The Wrekin,Yorkshire and the Humber,Yorkshire and the Humber
80529,392,North Tyneside,EM,North Tyneside,E12000001,North East,E08000022,E08000022,North Tyneside,,E08000022,North Tyneside,England,Thurrock,East Midlands,East Midlands
80532,929,Northumberland,EM,Northumberland,E12000001,North East,E06000057,E06000057,Northumberland,,E06000057,Northumberland,England,Altrincham and Sale West,East Midlands,East Midlands
80533,892,Nottingham,NW,Nottingham,E12000004,East Midlands,E06000018,E06000018,Nottingham,,E06000018,Nottingham,England,Hemsworth,North West,North West
80535,353,Oldham,SE,Oldham,E12000002,North West,E08000004,E08000004,Oldham,,E08000004,Oldham,England,Chingford and Woodford Green,South East,South East
80536,931,Oxfordshire,E,Oxfordshire,E12000008,South East,,E10000025,Oxfordshire,,E10000025,Oxfordshire,England,Tooting,East of England,East of England
80537,874,Peterborough,SW,Peterborough,E12000006,East of England,E06000031,E06000031,Peterborough,,E06000031,Peterborough,England,Warrington North,South West,South West
80539,851,Portsmouth,SE,Portsmouth,E12000008,South East,E06000044,E06000044,Portsmouth,,E06000044,Portsmouth,England,Newbury,South East,South East
80540,870,Reading,NE,Reading,E12000008,South East,E06000038,E06000038,Reading,,E06000038,Reading,England,Cities of London and Westminster,North East,North East
80541,807,Redcar and Cleveland,NW,Redcar and Cleveland,E12000001,North East,E06000003,E06000003,Redcar and Cleveland,,E06000003,Redcar and Cleveland,England,Makerfield,North West,North West
80542,354,Rochdale,YH,Rochdale,E12000002,North West,E08000005,E08000005,Rochdale,,E08000005,Rochdale,England,Chippenham,Yorkshire and the Humber,Yorkshire and the Humber
80543,372,Rotherham,EM,Rotherham,E12000003,Yorkshire and The Humber,E08000018,E08000018,Rotherham,,E08000018,Rotherham,England,Maidenhead,East Midlands,East Midlands
80544,207,Kensington and Chelsea,NW,Royal of Kensington and Chelsea,E12000007,London,E09000020,E09000020,Kensington and Chelsea,,E09000020,Kensington and Chelsea,England,Birkenhead,North West,North West
80545,314,Kingston upon Thames,WM,Royal of Kingston upon Thames,E12000007,London,E09000021,E09000021,Kingston upon Thames,,E09000021,Kingston upon Thames,England,Wokingham,West Midlands,West Midlands
80546,868,Windsor and Maidenhead,NW,Royal of Windsor & Maidenhead,E12000008,South East,E06000040,E06000040,Windsor and Maidenhead,,E06000040,Windsor and Maidenhead,England,Wolverhampton South East,North West,North West
80547,857,Rutland,YH,Rutland,E12000004,East Midlands,E06000017,E06000017,Rutland,,E06000017,Rutland,England,Bromsgrove,Yorkshire and the Humber,Yorkshire and the Humber
80548,355,Salford,WM,Salford,E12000002,North West,E08000006,E08000006,Salford,,E08000006,Salford,England,York Central,West Midlands,West Midlands
80549,333,Sandwell,SE,Sandwell,E12000005,West Midlands,E08000028,E08000028,Sandwell,,E08000028,Sandwell,England,Blaenau Gwent,South East,South East
80550,343,Sefton,WM,Sefton,E12000002,North West,E08000014,E08000014,Sefton,,E08000014,Sefton,England,Bridgend,West Midlands,West Midlands
80551,373,Sheffield,SW,Sheffield,E12000003,Yorkshire and The Humber,E08000019,E08000019,Sheffield,,E08000019,Sheffield,England,Caerphilly,South West,South West
80552,893,Shropshire,SW,Shropshire,E12000005,West Midlands,E06000051,E06000051,Shropshire,,E06000051,Shropshire,England,Cardiff Central,South West,South West
80553,871,Slough,NE,Slough,E12000008,South East,E06000039,E06000039,Slough,,E06000039,Slough,England,Carmarthen East and Dinefwr,North East,North East
80554,334,Solihull,SE,Solihull,E12000005,West Midlands,E08000029,E08000029,Solihull,,E08000029,Solihull,England,Ceredigion,South East,South East
80555,933,Somerset,E,Somerset,E12000009,South West,,E10000027,Somerset,,E10000027,Somerset,England,Aberconwy,East of England,East of England
80556,803,South Gloucestershire,NW,South Gloucestershire,E12000009,South West,E06000025,E06000025,South Gloucestershire,,E06000025,South Gloucestershire,England,Vale of Clwyd,North West,North West
80557,393,South Tyneside,WM,South Tyneside,E12000001,North East,E08000023,E08000023,South Tyneside,,E08000023,South Tyneside,England,Alyn and Deeside,West Midlands,West Midlands
80558,852,Southampton,NW,Southampton,E12000008,South East,E06000045,E06000045,Southampton,,E06000045,Southampton,England,Arfon,North West,North West
80559,882,Southend-on-Sea,NE,Southend-on-Sea,E12000006,East of England,E06000033,E06000033,Southend-on-Sea,,E06000033,Southend-on-Sea,England,Ynys Môn,North East,North East
80560,342,St. Helens,WM,St Helens,E12000002,North West,E08000013,E08000013,St. Helens,,E08000013,St. Helens,England,Merthyr Tydfil and Rhymney,West Midlands,West Midlands
80561,860,Staffordshire,E,Staffordshire,E12000005,West Midlands,,E10000028,Staffordshire,,E10000028,Staffordshire,England,Monmouth,East of England,East of England
80562,356,Stockport,NE,Stockport,E12000002,North West,E08000007,E08000007,Stockport,,E08000007,Stockport,England,Aberavon,North East,North East
80563,808,Stockton-on-Tees,SE,Stockton-on-Tees,E12000001,North East,E06000004,E06000004,Stockton-on-Tees,,E06000004,Stockton-on-Tees,England,Newport East,South East,South East
